[0922/225157.443:ERROR:process_info.cc(359)] UncheckedAllocate
[1013/132712.762:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/133714.031:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/133714.336:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/134213.651:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/135714.049:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/141214.180:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/142714.313:ERROR:crash_report_database_win.cc(428)] unexpected header
[1013/144214.404:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/210919.294:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/211919.418:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/211919.532:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/212419.370:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/213919.536:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/215419.763:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/220920.027:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/222420.552:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/223920.804:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/225421.050:ERROR:crash_report_database_win.cc(428)] unexpected header
[1014/230921.249:ERROR:crash_report_database_win.cc(428)] unexpected header
